price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type
34590,2018,ford,f150 super cab xl pickup 4d,good,6 cylinders,gas,20856,clean,other,,pickup
30590,2016,toyota,tacoma double cab sr5,good,,other,30176,clean,other,,pickup
32990,2020,jeep,wrangler sport suv 2d,good,,gas,20581,clean,other,4wd,SUV
38990,2020,ford,f150 supercrew cab xlt,good,6 cylinders,gas,12231,clean,other,,pickup
22590,2017,ram,1500 regular cab tradesman,good,8 cylinders,gas,39508,clean,other,,pickup
31590,2020,mazda,mx-5 miata club,good,,gas,2195,clean,other,rwd,other
27990,2020,ford,ranger supercab xl pickup,good,,gas,10688,clean,other,,pickup
31590,2019,cadillac,xt4 sport suv 4d,good,,other,12102,clean,other,fwd,hatchback
19900,2004,ford,f250 super duty,good,8 cylinders,diesel,88000,clean,automatic,4wd,pickup
16590,2016,jeep,renegade sport suv 4d,good,,gas,35835,clean,other,4wd,other
26990,2016,ford,f150 regular cab xl pickup,good,6 cylinders,gas,14230,clean,other,,pickup
25590,2015,gmc,sierra 1500 regular cab,good,6 cylinders,other,35290,clean,other,,pickup
14000,2012,honda,odyssey,excellent,6 cylinders,gas,95000,clean,automatic,fwd,mini-van
28590,2018,ram,1500 quad cab express pickup,good,6 cylinders,other,30047,clean,other,,pickup
24590,2013,gmc,sierra 1500 extended cab slt,good,8 cylinders,other,80318,clean,other,,pickup
25990,2019,ram,1500 classic regular cab,good,8 cylinders,gas,12302,clean,other,,pickup
34990,2018,ford,mustang gt premium,good,8 cylinders,gas,18650,clean,other,rwd,other
27990,2017,chevrolet,colorado extended cab,good,,gas,22120,clean,other,,pickup
22500,2001,ford,f450,good,8 cylinders,diesel,144700,clean,manual,rwd,truck
32990,2019,chevrolet,silverado 1500 ld,good,,other,6897,clean,other,,pickup
31990,2013,toyota,tundra double cab pickup,good,8 cylinders,gas,55068,clean,other,4wd,pickup
29990,2014,chevrolet,silverado 1500 double,good,8 cylinders,gas,26129,clean,other,4wd,pickup
23990,2016,chevrolet,silverado 1500 regular,good,6 cylinders,gas,41568,clean,other,,pickup
22990,2012,toyota,tacoma access cab pickup,good,,gas,37725,clean,other,,pickup
26990,2014,chevrolet,silverado 1500 crew,good,6 cylinders,gas,63129,clean,automatic,,pickup
33990,2017,jeep,wrangler unlimited sahara,good,6 cylinders,other,34152,clean,other,4wd,SUV
15000,2017,dodge,charger rt 4dr sedan,excellent,8 cylinders,gas,90000,rebuilt,automatic,rwd,sedan
26590,2020,honda,civic si coupe 2d,good,,gas,9954,clean,other,fwd,coupe
18590,2018,honda,civic lx sedan 4d,good,,gas,28942,clean,other,fwd,sedan
29590,2017,ford,expedition xlt sport,good,6 cylinders,gas,70760,clean,other,4wd,SUV
21590,2018,honda,civic ex sedan 4d,good,,gas,7885,clean,other,fwd,sedan
22590,2013,ford,f150 super cab xl pickup 4d,good,6 cylinders,other,14169,clean,other,,pickup
33990,2020,jeep,wrangler sport suv 2d,good,6 cylinders,gas,9859,clean,other,4wd,other
29990,2012,toyota,tacoma double cab pickup,good,6 cylinders,gas,43182,clean,other,4wd,pickup
37590,2019,ford,f150 supercrew cab xl,good,6 cylinders,gas,8663,clean,other,,pickup
25990,2015,lexus,nx 300h sport utility 4d,good,,other,55783,clean,other,,hatchback
32990,2018,jaguar,e-pace p250 s sport,good,,other,26685,clean,other,,other
28990,2020,buick,encore gx essence sport,good,,gas,21,clean,other,,other
34990,2020,lexus,nx 300 sport utility 4d,good,,gas,1722,clean,other,fwd,hatchback
3000,2004,chrysler,town & country,good,6 cylinders,gas,176144,clean,automatic,fwd,mini-van
22590,2016,volvo,s60 t5 cross country,good,,gas,42755,clean,other,,sedan
36990,2019,volvo,s60 t6 inscription sedan,good,,gas,8141,clean,other,,sedan
31990,2020,volvo,s60 t5 momentum sedan 4d,good,,gas,16594,clean,other,fwd,sedan
28590,2019,volvo,s60 t5 momentum sedan 4d,good,,gas,18531,clean,other,fwd,sedan
31990,2018,audi,q5 premium sport utility 4d,good,,gas,19179,clean,other,,other
19990,2015,infiniti,qx60 3.5 sport utility,good,,other,96003,clean,other,,SUV
29590,2017,lincoln,continental select sedan,good,6 cylinders,gas,35320,clean,other,,sedan
29990,2018,alfa-romeo,romeo stelvio ti sport,good,,other,26978,clean,other,,hatchback
2100,2006,subaru,impreza,fair,4 cylinders,gas,97000,clean,automatic,,hatchback
80,2004,honda,,excellent,6 cylinders,gas,94020,clean,automatic,,
15990,2016,,Scion iM Hatchback 4D,good,,gas,29652,clean,other,fwd,hatchback
20590,2013,acura,mdx sport utility 4d,good,6 cylinders,gas,77087,clean,other,,other
29590,2018,audi,a6 2.0t premium sedan 4d,good,,gas,13035,clean,other,fwd,sedan
16590,2015,hyundai,sonata sport sedan 4d,good,,gas,26655,clean,other,fwd,sedan
12990,1968,volvo,,,,gas,99999,clean,manual,,
33990,2017,ram,1500 crew cab tradesman,good,8 cylinders,gas,17033,clean,other,4wd,pickup
36590,2019,gmc,sierra 1500 limited double,good,8 cylinders,gas,14222,clean,other,4wd,pickup
29590,2013,gmc,sierra 1500 extended cab slt,good,8 cylinders,gas,37888,clean,other,,pickup
40590,2019,ford,f250 super duty regular cab,good,8 cylinders,other,9313,clean,other,4wd,pickup
33990,2018,jeep,wrangler unlimited willys,good,6 cylinders,gas,34636,clean,other,4wd,other
43990,2019,jeep,wrangler unlimited sahara,good,,gas,4362,clean,other,4wd,SUV
38990,2017,jeep,wrangler unlimited rubicon,good,6 cylinders,gas,20676,clean,other,4wd,other
39590,2018,jeep,wrangler unlimited all new,good,6 cylinders,gas,21893,clean,other,4wd,SUV
9500,2003,chrysler,town & country,excellent,6 cylinders,gas,30376,clean,automatic,fwd,mini-van
28590,2018,gmc,acadia sle-2 sport utility,good,6 cylinders,gas,20736,clean,other,fwd,SUV
16590,2013,lincoln,mkz sedan 4d,good,,gas,61087,clean,other,fwd,sedan
28990,2017,gmc,acadia slt-1 sport utility,good,6 cylinders,gas,18041,clean,other,fwd,SUV
20590,2017,lincoln,mkz premiere sedan 4d,good,,gas,36436,clean,other,fwd,sedan
26990,2015,lexus,nx 200t sport utility 4d,good,,gas,29738,clean,other,fwd,hatchback
26990,2016,lexus,nx 200t sport utility 4d,good,,gas,31363,clean,other,fwd,hatchback
22590,2020,buick,encore gx select sport,good,,other,5144,clean,other,,SUV
35990,2018,jaguar,e-pace p250 se sport,good,,gas,8490,clean,other,,other
17500,2008,toyota,fj cruiser,good,6 cylinders,gas,201300,clean,manual,4wd,offroad
6000,2007,mercedes-benz,e320 cdi,good,6 cylinders,diesel,124000,clean,automatic,rwd,sedan
25990,2018,volvo,s60 t5 inscription sedan,good,,diesel,22834,clean,other,,sedan
6800,2005,,blue bird bus,excellent,6 cylinders,diesel,180000,clean,automatic,rwd,bus
36590,2019,volvo,s60 t6 r-design sedan 4d,good,,gas,7618,clean,other,,sedan
35990,2019,volvo,s60 t6 r-design sedan 4d,good,,other,15567,clean,other,,sedan
33590,2019,volvo,s60 t6 r-design sedan 4d,good,,gas,10742,clean,other,,sedan
0,2018,chevrolet,express cargo van,like new,6 cylinders,gas,68472,clean,automatic,rwd,van
0,2019,chevrolet,express cargo van,like new,6 cylinders,gas,69125,clean,automatic,rwd,van
0,2018,chevrolet,express cargo van,like new,6 cylinders,gas,66555,clean,automatic,rwd,van
38990,2020,infiniti,qx60 luxe sport utility,good,6 cylinders,gas,5279,clean,other,fwd,other
33990,2018,alfa-romeo,romeo stelvio ti sport suv,good,,gas,23753,clean,other,,hatchback
27990,2017,lincoln,continental select sedan,good,6 cylinders,gas,19492,clean,automatic,,sedan
28590,2018,audi,q5 premium sport utility 4d,good,,gas,31033,clean,other,,SUV
18590,2018,hyundai,sonata sel sedan 4d,good,,gas,22075,clean,other,fwd,sedan
29990,2018,audi,a6 2.0t premium plus sedan,good,,other,24996,clean,automatic,,sedan
14990,2016,,Scion iM Hatchback 4D,good,,gas,65203,clean,other,fwd,hatchback
39990,2020,acura,mdx sh-awd sport utility,good,6 cylinders,gas,1237,clean,other,,other
2500,1966,,1966 C-30 1 ton,good,6 cylinders,gas,47000,clean,manual,rwd,pickup
4000,2006,jeep,grand cherokee laredo,good,6 cylinders,gas,281000,clean,automatic,rwd,SUV
32990,2019,jeep,wrangler sport suv 2d,good,6 cylinders,other,1423,clean,other,4wd,SUV
27590,2012,jeep,wrangler unlimited sport,good,6 cylinders,gas,52172,clean,other,4wd,SUV
18590,2017,toyota,camry le sedan 4d,good,,gas,30223,clean,other,fwd,sedan
33590,2017,ram,1500 crew cab laramie pickup,good,,other,45464,clean,other,,pickup
40990,2017,jeep,wrangler unlimited rubicon,good,,other,30092,clean,other,4wd,other
33590,2017,jeep,wrangler unlimited sport,good,6 cylinders,gas,37919,clean,other,4wd,SUV
31590,2017,jeep,wrangler unlimited sport,good,6 cylinders,gas,35391,clean,other,4wd,SUV
30990,2017,jeep,wrangler unlimited sport,good,6 cylinders,gas,43039,clean,other,4wd,SUV
14590,2012,bmw,1 series 128i coupe 2d,good,,other,80465,clean,other,,coupe
20590,2018,chrysler,300 limited sedan 4d,good,6 cylinders,gas,71021,clean,other,rwd,sedan
19990,2020,mitsubishi,outlander sport es,good,,other,11103,clean,other,,hatchback
10990,2013,nissan,sentra s sedan 4d,good,,gas,81557,clean,other,fwd,sedan
26990,2018,gmc,acadia sle-2 sport utility,good,6 cylinders,gas,26514,clean,other,fwd,SUV
36590,2020,gmc,acadia denali sport utility,good,6 cylinders,gas,33026,clean,other,,SUV
30990,2020,gmc,acadia slt sport utility 4d,good,6 cylinders,gas,35200,clean,other,,SUV
24590,2018,lincoln,mkz select sedan 4d,good,,gas,16081,clean,automatic,fwd,sedan
8990,2013,,smart fortwo Passion Hatchback,good,,gas,59072,clean,automatic,rwd,coupe
23990,2015,lexus,nx 200t sport utility 4d,good,,other,48462,clean,other,,hatchback
25590,2020,buick,encore gx select sport,good,,gas,1113,clean,automatic,fwd,SUV
52990,2020,jaguar,e-pace p300 r-dynamic se,good,,gas,79,clean,other,,other
19000,2017,subaru,forester,like new,4 cylinders,gas,22700,lien,automatic,,SUV
28000,2018,acura,tlx,excellent,,gas,55000,clean,automatic,fwd,sedan
17590,2015,volvo,s60 t5 premier sedan 4d,good,,gas,63512,clean,automatic,,sedan
36590,2020,volvo,s60 t6 r-design sedan 4d,good,,gas,18506,clean,other,,sedan
35990,2020,volvo,s60 t6 inscription sedan,good,,other,11878,clean,other,,sedan
38590,2019,volvo,s60 t8 r-design sedan 4d,good,,gas,14054,clean,automatic,,sedan
29590,2018,lincoln,continental select sedan,good,6 cylinders,other,33047,clean,automatic,,sedan
32590,2018,alfa-romeo,romeo stelvio sport suv 4d,good,,other,14863,clean,other,,hatchback
27590,2018,infiniti,qx60 3.5 sport utility,good,6 cylinders,gas,41119,clean,automatic,,SUV
38990,2020,audi,q5 45 tfsi premium plus,good,,gas,19067,clean,other,,SUV
21950,2012,toyota,tacoma 4x4,excellent,4 cylinders,gas,143060,clean,manual,4wd,truck
13950,2011,toyota,tacoma,good,4 cylinders,gas,151060,clean,automatic,rwd,truck
5900,2001,,F-350,,8 cylinders,diesel,200000,clean,automatic,rwd,
12950,2005,bmw,z4,excellent,6 cylinders,gas,69586,clean,automatic,rwd,convertible
18950,2010,ford,f150 lariat supercrew 4x4,good,8 cylinders,gas,151403,clean,automatic,4wd,pickup
6995,2011,volkswagen,jetta sel,excellent,5 cylinders,gas,172752,clean,automatic,fwd,sedan
12500,2008,ford,ranger xlt,excellent,6 cylinders,gas,141345,clean,automatic,rwd,truck
16950,2007,toyota,tacoma double cab,good,6 cylinders,gas,156792,clean,automatic,rwd,truck
22950,2014,ford,f150 supercrew cab xlt,excellent,8 cylinders,gas,166380,clean,automatic,4wd,truck
12950,2011,honda,crv ex,excellent,4 cylinders,gas,87994,clean,automatic,fwd,SUV
12950,2007,mazda,mx-5 miata touring,excellent,4 cylinders,gas,90610,clean,automatic,rwd,convertible
13950,2011,mazda,mx-5 miata grand touring,excellent,4 cylinders,gas,138235,clean,automatic,rwd,convertible
19950,2009,porsche,boxster,excellent,6 cylinders,gas,80190,clean,automatic,rwd,convertible
13950,2008,mazda,miata,excellent,4 cylinders,gas,86650,clean,manual,rwd,convertible
10950,2009,lexus,rx350,excellent,6 cylinders,gas,191955,clean,automatic,4wd,SUV
13950,2006,lexus,gx470,good,8 cylinders,gas,178790,clean,automatic,4wd,SUV
1800,1998,toyota,rav4,good,4 cylinders,gas,240537,clean,manual,,
21250,2002,ford,thunderbird,new,8 cylinders,gas,15996,clean,automatic,fwd,convertible
4500,2008,ford,mustang,,6 cylinders,gas,187016,clean,automatic,rwd,coupe
39590,2020,chevrolet,silverado 1500 crew,good,8 cylinders,gas,19160,clean,other,,pickup
26990,2017,nissan,titan single cab sv,good,8 cylinders,gas,41335,clean,other,4wd,pickup
4299,2007,nissan,sentra,,4 cylinders,gas,189321,clean,automatic,fwd,sedan
0,2015,nissan,sentra,excellent,4 cylinders,gas,99505,clean,automatic,fwd,sedan
3950,2008,kia,spectra ex,excellent,4 cylinders,gas,247377,clean,automatic,,sedan
5900,1998,ford,f150,excellent,8 cylinders,gas,214000,clean,automatic,,truck
33990,,,lac XT5 Crossover,,6 cylinders,gas,48784,clean,automatic,fwd,SUV
34995,2012,dodge,charger limousine,,,gas,41000,clean,automatic,,
3200,2005,ford,focus,good,4 cylinders,gas,189886,clean,automatic,,
3495,1999,ford,windstar,good,6 cylinders,gas,135448,clean,automatic,,
6500,2002,ford,sport trac,good,6 cylinders,gas,114775,clean,automatic,,
16988,2008,toyota,fj cruiser,,,gas,188099,clean,automatic,4wd,
16988,2018,nissan,altima,,,gas,57517,clean,automatic,fwd,
26990,2018,nissan,frontier,,,gas,31814,clean,automatic,rwd,
32186,2021,toyota,tacoma,,,gas,1443,clean,automatic,rwd,
16477,2015,buick,enclave,,,gas,103969,clean,automatic,fwd,
58977,2019,gmc,sierra 3500,,,gas,66368,clean,automatic,4wd,
30990,2016,chevrolet,silverado 1500 double,good,6 cylinders,gas,58116,clean,other,,pickup
6900,2009,honda,ridgeline,fair,,gas,198000,clean,automatic,4wd,
3750,1997,ford,f150,,,gas,150000,clean,automatic,,
2500,1976,chevrolet,malibu classic,,,gas,100,clean,automatic,,
3500,2003,toyota,camry,good,4 cylinders,gas,237000,clean,automatic,,
1300,1969,mercedes-benz,benz,,,gas,12774,clean,automatic,,
25990,2016,bmw,5 series,,6 cylinders,gas,75123,clean,automatic,,sedan
8000,2013,kia,optima,excellent,4 cylinders,gas,119000,rebuilt,automatic,,
32000,2008,chevrolet,silverado 2500,good,8 cylinders,diesel,109600,clean,automatic,4wd,truck
3399,2006,buick,lacrosse,,6 cylinders,gas,160218,clean,automatic,fwd,sedan
4000,2002,toyota,echo,excellent,4 cylinders,gas,155000,clean,automatic,fwd,sedan
3900,2009,hyundai,elantra,,4 cylinders,gas,162005,clean,automatic,rwd,sedan
3000,2004,chevrolet,blazer,good,6 cylinders,gas,131500,clean,automatic,4wd,SUV
2800,2009,nissan,versa,,,gas,109000,rebuilt,automatic,,
2500,1995,bmw,525i,fair,6 cylinders,gas,110661,clean,automatic,rwd,sedan
53000,2006,,Sterling Acterra,,,diesel,160322,clean,automatic,,
33590,2014,gmc,sierra 1500 crew cab slt,good,8 cylinders,gas,57923,clean,other,,pickup
12500,2008,gmc,yukon xl,excellent,8 cylinders,gas,177326,clean,automatic,rwd,SUV
15990,2017,ford,c-max hybrid se wagon 4d,good,,hybrid,48195,clean,other,fwd,wagon
2500,2008,honda,accord,good,6 cylinders,gas,204561,clean,automatic,fwd,sedan
20995,2011,chevrolet,silverado 1500 ltz crew cab 4wd,,,,137701,,automatic,4wd,pickup
25995,2015,chevrolet,silverado 1500 lt crew cab 4wd,,,,151681,,automatic,4wd,pickup
31995,2014,chevrolet,silverado 1500 2lt crew cab long box 4wd,,,,66738,,automatic,4wd,pickup
5500,1978,ford,f-150,good,8 cylinders,gas,239000,clean,automatic,,truck
29000,2005,ford,f750,,,diesel,77124,clean,automatic,,
27990,2012,gmc,sierra 2500 hd extended cab,good,8 cylinders,gas,68696,clean,other,4wd,pickup
24990,2018,gmc,canyon extended cab pickup,good,,other,32329,clean,other,,pickup
10990,2011,mercedes-benz,ml350,excellent,6 cylinders,gas,119172,clean,automatic,4wd,SUV
3300,1999,chrysler,300m,,6 cylinders,gas,162026,clean,automatic,fwd,sedan
27000,1954,ford,f100,,,gas,6000,clean,manual,,
27995,2017,ford,f-150,,,gas,101000,clean,automatic,4wd,
8100,2011,ford,escape,excellent,6 cylinders,hybrid,140000,clean,automatic,fwd,SUV
20000,1979,chevrolet,malibu,like new,8 cylinders,gas,1234,clean,automatic,rwd,
3999,2003,infiniti,g35 sedan,,6 cylinders,gas,233830,clean,automatic,rwd,sedan
0,2019,chevrolet,silverado 1500,excellent,8 cylinders,gas,25127,clean,automatic,4wd,truck
23500,1970,chevrolet,monte carlo,excellent,,gas,18678,clean,automatic,,
5300,2009,jeep,grand cherokee laredo,excellent,6 cylinders,gas,178000,clean,automatic,4wd,
0,2014,,Freightliner Cascadia,,,diesel,100,clean,automatic,,
45900,2017,,Maserati Levante,,6 cylinders,gas,36083,clean,automatic,,SUV
0,2017,chevrolet,silverado 2500hd 4x4,like new,8 cylinders,diesel,102000,clean,automatic,4wd,truck
5500,1974,mercedes-benz,1929 ssk replica,good,4 cylinders,gas,9999,clean,automatic,rwd,convertible
3500,1996,chevrolet,tahoe,excellent,8 cylinders,gas,237000,clean,automatic,4wd,offroad
16902,2020,toyota,corolla,,,gas,11692,clean,automatic,fwd,
12307,2018,kia,soul,,,gas,95056,clean,automatic,fwd,
37500,2018,ford,f-150,,,gas,30026,clean,automatic,4wd,
21688,2020,nissan,kicks,,,gas,7575,clean,automatic,fwd,
29990,2016,chevrolet,colorado extended cab,good,6 cylinders,gas,17302,clean,other,4wd,pickup
35590,2010,chevrolet,corvette convertible,good,8 cylinders,gas,31879,clean,other,rwd,other
18977,2017,kia,sorento,,,gas,70014,clean,automatic,fwd,
6877,2007,nissan,pathfinder,,,gas,155471,clean,automatic,rwd,
500,2021,,SPECIAL FINANCE PROGRAM 2020,fair,other,other,1400,clean,other,,bus
12500,2015,volkswagen,passat tdi,excellent,,diesel,101000,clean,automatic,,
27998,2008,porsche,cayman,,6 cylinders,gas,69505,clean,automatic,rwd,coupe
0,2015,mercedes-benz,s-class,,8 cylinders,gas,78807,clean,automatic,4wd,sedan
6800,2004,mercedes-benz,clk320,good,6 cylinders,gas,116700,clean,automatic,rwd,convertible
45000,2017,chevrolet,silverado,excellent,8 cylinders,gas,92000,clean,automatic,4wd,truck
2550,2004,cadillac,srx,,6 cylinders,gas,224105,clean,automatic,rwd,SUV
12500,2015,ford,taurus,like new,,gas,90000,clean,automatic,fwd,
3800,2011,nissan,altima,,,gas,155000,rebuilt,automatic,,
2500,1987,,1987 Saab 900 Turbo,fair,4 cylinders,gas,125000,clean,manual,fwd,coupe
2975,2006,,Suzuki XL-7,,6 cylinders,gas,217353,clean,automatic,rwd,SUV
7980,2013,bmw,x3,,4 cylinders,gas,156295,,manual,rwd,SUV
7800,2005,honda,accord ex-l,excellent,4 cylinders,gas,155000,clean,manual,,
9000,2008,mazda,miata mx-5,excellent,4 cylinders,gas,56700,clean,automatic,rwd,convertible
5980,2005,cadillac,sts,,8 cylinders,gas,129448,,automatic,rwd,sedan
13500,2000,chevrolet,corvette,like new,8 cylinders,gas,92000,clean,manual,,hatchback
19950,1955,chevrolet,bel air,good,8 cylinders,gas,96867,clean,automatic,rwd,sedan
5980,2005,acura,tl,,6 cylinders,gas,179721,,automatic,fwd,sedan
2675,1996,toyota,camry,,4 cylinders,gas,164719,clean,automatic,fwd,sedan
5980,2006,nissan,murano,,6 cylinders,gas,178388,,automatic,fwd,SUV
34995,2018,ram,2500,,,diesel,211000,clean,automatic,4wd,
6980,2011,kia,sorento,,6 cylinders,gas,182321,,other,rwd,SUV
31990,2017,jeep,wrangler sport s utility 2d,good,6 cylinders,gas,891,clean,other,4wd,other
6980,2008,toyota,avalon,,6 cylinders,gas,158888,,automatic,fwd,sedan
11500,2013,honda,odyssey ex,good,,gas,92000,clean,automatic,,van
987654321,1960,chevrolet,,,,gas,999999,clean,manual,,
2600,2000,buick,lesabre,,6 cylinders,gas,212061,clean,automatic,fwd,sedan
4980,2007,ford,edge,,6 cylinders,gas,178095,,automatic,4wd,sedan
26995,2015,ford,f-350,,,diesel,247000,clean,automatic,4wd,
27990,2014,toyota,tacoma access cab pickup,good,,other,17805,clean,other,,pickup
32990,2017,jeep,wrangler unlimited sport,good,6 cylinders,gas,30041,clean,other,4wd,other
34995,2018,ram,1500,,,gas,104000,clean,automatic,rwd,
5980,2010,gmc,terrain,,4 cylinders,gas,208359,,manual,rwd,SUV
4500,2014,ford,f250 xl,,,gas,250000,clean,automatic,,
5480,2013,chevrolet,captiva sport,,4 cylinders,gas,182711,,automatic,fwd,SUV
16990,2016,kia,forte koup ex coupe 2d,good,,gas,17631,clean,other,fwd,coupe
37590,2019,ford,f150 supercrew cab xl,good,6 cylinders,gas,8663,clean,other,,pickup
3975,2010,chevrolet,cobalt,,4 cylinders,gas,162455,clean,automatic,fwd,sedan
6480,2008,buick,enclave,,6 cylinders,gas,183858,,automatic,rwd,SUV
22900,2013,dodge,grand caravan,,6 cylinders,gas,68228,clean,automatic,fwd,
24997,2014,mercedes-benz,m-class,,8 cylinders,gas,82553,clean,automatic,,SUV
6700,2011,nissan,murano,excellent,6 cylinders,gas,184000,clean,automatic,,
26500,2019,nissan,rogue sport,,,gas,9975,clean,automatic,,
27988,2020,nissan,altima,,,gas,15139,clean,automatic,,
20870,2019,infiniti,qx30,,,gas,29938,clean,automatic,fwd,
26988,2018,nissan,pathfinder,,,gas,24274,clean,automatic,4wd,
19990,2017,subaru,legacy 2.5i premium sedan,good,,gas,10309,clean,other,,sedan
19877,2011,ram,2500,,,diesel,183284,clean,automatic,,
11977,2015,gmc,terrain,,,gas,106591,clean,automatic,fwd,
29998,2014,mercedes-benz,cls,,8 cylinders,gas,57406,clean,automatic,rwd,sedan
0,2018,mercedes-benz,e-class,,4 cylinders,gas,34099,clean,automatic,rwd,sedan
12895,1991,chevrolet,corvette,,8 cylinders,gas,43725,clean,automatic,rwd,hatchback
3650,1999,jeep,grand cherokee,,6 cylinders,gas,151379,clean,automatic,rwd,SUV
8500,2006,rover,,good,8 cylinders,gas,139445,clean,automatic,4wd,SUV
3299,2003,chevrolet,cavalier,,4 cylinders,gas,176354,clean,automatic,fwd,coupe
4499,2005,toyota,camry,,4 cylinders,gas,170687,clean,automatic,fwd,sedan
0,2017,ford,expedition el,,6 cylinders,gas,82254,clean,automatic,rwd,SUV
5940,2011,kia,soul,,4 cylinders,gas,163385,,manual,rwd,wagon
3999,2009,volvo,s60,,5 cylinders,gas,182005,clean,automatic,fwd,sedan
8980,2011,jeep,grand cherokee,,6 cylinders,,173787,,manual,rwd,SUV
4950,2001,toyota,4runner limited,,6 cylinders,gas,266000,clean,automatic,rwd,SUV
4980,2010,chevrolet,traverse,,6 cylinders,gas,208122,,manual,rwd,SUV
4400,2006,buick,lacrosse,,6 cylinders,gas,124201,clean,automatic,fwd,sedan
8980,2010,dodge,charger,,8 cylinders,gas,207260,,automatic,rwd,sedan
33590,2014,toyota,tundra crewmax sr5 pickup,good,,other,55251,clean,other,,pickup
39590,2020,ford,mustang gt premium coupe 2d,good,8 cylinders,gas,1419,clean,other,rwd,coupe
26590,2017,honda,pilot lx sport utility 4d,good,6 cylinders,gas,13836,clean,other,,other
21990,2018,buick,regal sportback preferred,good,,gas,4988,clean,other,fwd,sedan
19990,2017,hyundai,sonata plug-in hybrid,good,,hybrid,29254,clean,manual,fwd,sedan
30990,2019,ford,ranger supercrew xl pickup,good,,other,1834,clean,other,,pickup
6980,2006,nissan,pathfinder,,6 cylinders,gas,146779,,automatic,rwd,SUV
4100,2010,hyundai,elantra touring,,4 cylinders,gas,130206,rebuilt,manual,fwd,wagon
7980,2015,kia,forte,,4 cylinders,gas,121682,,automatic,fwd,sedan
9980,2013,infiniti,jx35,,6 cylinders,gas,171226,,automatic,fwd,SUV
19500,2008,ram,3500,good,6 cylinders,diesel,161000,clean,manual,4wd,truck
2300,1997,buick,lesabre,,6 cylinders,gas,201566,clean,automatic,fwd,sedan
10980,2007,gmc,yukon xl denali,,8 cylinders,gas,181633,,automatic,,SUV
15000,2009,toyota,tacoma 4x4,good,6 cylinders,gas,213800,clean,automatic,4wd,truck
14897,2012,jeep,grand cherokee,,6 cylinders,gas,112510,clean,other,rwd,SUV
11400,2013,kia,sportage,,4 cylinders,gas,92986,clean,other,4wd,SUV
10980,2012,ford,mustang,,6 cylinders,gas,159559,,manual,rwd,coupe
3500,1998,jeep,cherokee,,6 cylinders,gas,273000,clean,automatic,4wd,SUV
8950,2011,ford,f-150,excellent,6 cylinders,gas,164000,clean,automatic,fwd,truck
4000,1972,mercedes-benz,benz,fair,6 cylinders,gas,88100,clean,automatic,rwd,coupe
